state,statfip,county,county_name,,1,2,3,4,5,6,7
AL,1,1,Autauga County,,,1,,,,,
AL,1,3,Baldwin County,,1,,,,,,
AL,1,5,Barbour County,,,1,,,,,
AL,1,7,Bibb County,,,,,,,1,
AL,1,9,Blount County,,,,,1,,1,
AL,1,11,Bullock County,,,1,,,,,
AL,1,13,Butler County,,,1,,,,,
AL,1,15,Calhoun County,,,,1,,,,
AL,1,17,Chambers County,,,,1,,,,
AL,1,19,Cherokee County,,,,1,1,,,
AL,1,21,Chilton County,,,,,,,1,
AL,1,23,Choctaw County,,,,,,,,1
AL,1,25,Clarke County,,1,,,,,,1
AL,1,27,Clay County,,,,1,,,,
AL,1,29,Cleburne County,,,,1,,,,
AL,1,31,Coffee County,,,1,,,,,
AL,1,33,Colbert County,,,,,1,,,
AL,1,35,Conecuh County,,,1,,,,,
AL,1,37,Coosa County,,,,,,,1,
AL,1,39,Covington County,,,1,,,,,
AL,1,41,Crenshaw County,,,1,,,,,
AL,1,43,Cullman County,,,,,1,,,
AL,1,45,Dale County,,,1,,,,,
AL,1,47,Dallas County,,,,,,,,1
AL,1,49,DeKalb County,,,,,1,,,
AL,1,51,Elmore County,,,1,,,,,
AL,1,53,Escambia County,,1,,,,,,
AL,1,55,Etowah County,,,,,1,,,
AL,1,57,Fayette County,,,,,1,,,
AL,1,59,Franklin County,,,,,1,,,
AL,1,61,Geneva County,,,1,,,,,
AL,1,63,Greene County,,,,,,,,1
AL,1,65,Hale County,,,,,,,,1
AL,1,67,Henry County,,,1,,,,,
AL,1,69,Houston County,,,1,,,,,
AL,1,71,Jackson County,,,,,1,1,,
AL,1,73,Jefferson County,,,,,,,1,1
AL,1,75,Lamar County,,,,,1,,,
AL,1,77,Lauderdale County,,,,,,1,,
AL,1,79,Lawrence County,,,,,1,,,
AL,1,81,Lee County,,,,1,,,,
AL,1,83,Limestone County,,,,,,1,,
AL,1,85,Lowndes County,,,,,,,,1
AL,1,87,Macon County,,,,1,,,,
AL,1,89,Madison County,,,,,,1,,
AL,1,91,Marengo County,,,,,,,,1
AL,1,93,Marion County,,,,,1,,,
AL,1,95,Marshall County,,,,,1,,,
AL,1,97,Mobile County,,1,,,,,,
AL,1,99,Monroe County,,1,,,,,,
AL,1,101,Montgomery County,,,1,1,,,,1
AL,1,103,Morgan County,,,,,,1,,
AL,1,105,Perry County,,,,,,,,1
AL,1,107,Pickens County,,,,,,,,1
AL,1,109,Pike County,,,1,,,,,
AL,1,111,Randolph County,,,,1,,,,
AL,1,113,Russell County,,,,1,,,,
AL,1,115,St. Clair County,,,,1,,,,
AL,1,117,Shelby County,,,,,,,1,
AL,1,119,Sumter County,,,,,,,,1
AL,1,121,Talladega County,,,,1,,,,
AL,1,123,Tallapoosa County,,,,1,,,,
AL,1,125,Tuscaloosa County,,,,,1,,,1
AL,1,127,Walker County,,,,,1,,,
AL,1,129,Washington County,,1,,,,,,
AL,1,131,Wilcox County,,,,,,,,1
AL,1,133,Winston County,,,,,1,,,
